源文件名,中文字符串,Chinese string
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,温补系数,Temperature compensation coefficient
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,温补系数,Temperature compensation coefficient
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,二次项系数,Quadratic coefficient
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,涂布模式,Coating mode
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,涂布模式,Coating mode
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,基材宽度,Substrate width
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,基材宽度,Substrate width
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区个数,Number of membrane areas
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区个数,Number of membrane areas
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区宽度,Membrane area width
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,备注,Remark
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,宽度一致？,Same width?
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区公差±,Film area tolerance ±
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区公差±,Film area tolerance ±
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区公差下偏差-,Film area tolerance lower deviation -
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区公差下偏差-,Film area tolerance lower deviation -
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区预警公差±,Film area warning tolerance ±
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区预警公差±,Film area warning tolerance ±
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区预警公差下偏差-,Film area warning tolerance lower deviation -
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区预警公差下偏差-,Film area warning tolerance lower deviation -
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,膜区宽度,Membrane area width
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,规格宽度,Specification width
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,重转厚系数,Heavy rotation thickness coefficient
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,重转厚系数,Heavy rotation thickness coefficient
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,克隆当前配方,Clone the current recipe
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,保存当前配方,Save current recipe
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,删除当前配方,Delete the current recipe
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,恢复初始值,Restore initial value
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,导入,Import
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,导出,Export
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,配方文件|*.fml,Recipe file | *.fml
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,导出配方,Export Recipe
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,配方文件|*.fml,Recipe file | *.fml
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,导入配方,Importing recipes
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,你好,Hello
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,扩展参数,Extended Parameters
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,同步至分站,Synchronize to substation
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,同步后切换至当前配方,Switch to the current recipe after synchronization
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,加载默认值,Loading Defaults
\KFCK.ThicknessMeterMWS\Controls\FormulaManageUserControl.Designer.cs,厚度配方,Thickness formula
\KFCK.ThicknessMeterMWS\Controls\InputRollInfoUserControl.cs,卷号不能为空！,Volume number cannot be empty!
\KFCK.ThicknessMeterMWS\Controls\InputRollInfoUserControl.cs,不允许所有字符都是空白符！,All characters are not allowed to be whitespace!
\KFCK.ThicknessMeterMWS\Controls\InputRollInfoUserControl.cs,卷号不能包含非法字符！,The volume number cannot contain illegal characters!
\KFCK.ThicknessMeterMWS\Controls\InputRollInfoUserControl.cs,膜卷号过长！,The film roll number is too long!
\KFCK.ThicknessMeterMWS\Controls\InputRollInfoUserControl.cs,操作员工号过长！,The operator number is too long!
\KFCK.ThicknessMeterMWS\Controls\InputRollInfoUserControl.Designer.cs,批次号-卷号：,Batch No. - Roll No.:
\KFCK.ThicknessMeterMWS\Controls\InputRollInfoUserControl.Designer.cs,操作员工号：,Operator Number:
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材公差上偏差+,Upper deviation of substrate tolerance +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材预警公差上偏差+,Base material warning tolerance upper deviation +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面公差上偏差+,Single side tolerance upper deviation +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面预警公差上偏差+,Single-sided warning tolerance upper deviation +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面膜区公差上偏差+,Upper tolerance of single film area +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面膜区预警公差上偏差+,Single-sided film area warning tolerance upper deviation +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面公差上偏差+,Double-sided tolerance upper deviation +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面预警公差上偏差+,Double-sided warning tolerance upper deviation +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面膜区公差上偏差+,Upper tolerance of double-sided film area +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面膜区预警公差上偏差+,Double-sided film area warning tolerance upper deviation +
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,分站选择的产品型号不一致，未能自动选择当前工艺参数。,The product models selected by the substations are inconsistent and the current process parameters cannot be automatically selected.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,加载正常,Loading OK
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,从分站加载工艺参数及配方参数出错。,An error occurred while loading process parameters and recipe parameters from the substation.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,抱歉，从分站加载工艺参数及配方参数出错，请检查网络！,"Sorry, there was an error in loading process parameters and recipe parameters from the substation, please check the network!"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,标定时间：,Calibration time:
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,零位信号：,Zero signal:
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,抱歉，当前状态下不允许同步配方，请稍后再试！,"Sorry, syncing recipes is not allowed in the current state, please try again later!"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,当前工艺参数已修改，但尚未保存!,The current process parameters have been modified but not saved!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,抱歉，当前状态下不允许切换配方，请稍后再试！,"Sorry, the recipe switch is not allowed in the current state, please try again later!"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,同步完成！,Sync complete!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,同步 {currentContext.DisplayName} 配方失败。,Failed to synchronize {currentContext.DisplayName} recipe.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,未能成功同步 {currentContext.DisplayName} 的配方，原因：,"Failed to successfully synchronize recipe for {currentContext.DisplayName}, reason:"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,同步 {currentContext.DisplayName} 配方失败。,Failed to synchronize {currentContext.DisplayName} recipe.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,未能成功同步 {currentContext.DisplayName} 的配方，请检查连接！,"Failed to successfully synchronize recipe for {currentContext.DisplayName}, please check your connection!"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,分站未连接，无法同步配方！,The substation is not connected and the recipe cannot be synchronized!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,检测到已存在同名的工艺参数，请换个产品型号！,A process parameter with the same name has been detected. Please change the product model!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,未选择工艺参数！,No process parameters selected!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,检测到已存在同名的工艺参数，请换个产品型号！,A process parameter with the same name has been detected. Please change the product model!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,未选择工艺参数！,No process parameters selected!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,抱歉，至少需要保留一个工艺参数！,"Sorry, at least one process parameter needs to be retained!"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,确定要删除当前选中的工艺参数 {(processParametersBindingSource.Current as ProcessParameters).ProductType} 吗？,Are you sure you want to delete the currently selected process parameter {(processParametersBindingSource.Current as ProcessParameters).ProductType}?
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导入的工艺参数文件的版本为 {processParameterFile.Version}，与当前版本 {Metadata.IntelligentFormulaManage.Version} 不符。如果强行导入，可能导致导入的数据不完整，是否还要继续导入？,"The version of the imported process parameter file is {processParameterFile.Version}, which is inconsistent with the current version {Metadata.IntelligentFormulaManage.Version}. If you force the import, the imported data may be incomplete. Do you still want to continue the import?"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,即将导入的工艺参数 {processParameter.ProductType} 在当前工艺参数列表中已存在，是 覆盖[是] 还是 跳过[否]？,The process parameter {processParameter.ProductType} to be imported already exists in the current process parameter list. Overwrite [Yes] or skip [No]?
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导入工艺参数,Import process parameters
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导入完成！,Import complete!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导入工艺参数,Import process parameters
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导入工艺参数失败，原因：,"Importing process parameters failed, reason:"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,没有任何工艺参数，无法导出！,There are no process parameters and cannot be exported!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,工艺参数列表_,Process parameter list_
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,没有选中任何工艺参数，无法导出！,No process parameters are selected and cannot be exported!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导出工艺参数,Export process parameters
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导出完成！,Export completed!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导出工艺参数,Export process parameters
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,导出工艺参数失败，原因：,"Failed to export process parameters, reason:"
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,必须为 {SubstationsBroker.SubstationContexts[bf.ShelfIndex].DisplayName} 的 {bf.Formula.Name} 设置扩展参数！,You must set the extended parameter for {bf.Formula.Name} of {SubstationsBroker.SubstationContexts[bf.ShelfIndex].DisplayName}!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,{SubstationsBroker.SubstationContexts[result.ShelfIndex].DisplayName} 的 {result.Formula.Name} 配方验证未通过：{result.ValidateResult}。,The {result.Formula.Name} formula at {SubstationsBroker.SubstationContexts[result.ShelfIndex].DisplayName} failed validation: {result.ValidateResult}.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,"值不在合理范围[{validateRange.Min},{validateRange.Max}]内。","The value is not in the valid range [{validateRange.Min},{validateRange.Max}]."
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,含有非法字符。,Contains illegal characters.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写基材,Please fill in the base material
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材,Substrate
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,不能为负值。,Cannot be a negative value.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写A面净,Please fill in the A side net
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,A面净,A side clean
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,不能为负值。,Cannot be a negative value.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写B面净,Please fill in the B side net
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,B面净,B side clean
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,不能为负值。,Cannot be a negative value.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写基材公差。,Please fill in the substrate tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材公差上偏差不能小于基材预警公差上偏差。,The upper deviation of the substrate tolerance cannot be less than the upper deviation of the substrate warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材公差不能小于基材预警公差。,The substrate tolerance cannot be less than the substrate warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写基材公差。,Please fill in the substrate tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材公差下偏差不能小于基材预警公差下偏差。,The base material tolerance lower deviation cannot be less than the base material warning tolerance lower deviation.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写基材预警公差。,Please fill in the substrate warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材预警公差上偏差必须大于等于0且不能大于基材公差上偏差。,The upper deviation of the substrate warning tolerance must be greater than or equal to 0 and cannot be greater than the upper deviation of the substrate tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材预警公差必须大于等于0且不能大于基材公差。,The substrate warning tolerance must be greater than or equal to 0 and cannot be greater than the substrate tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写基材预警公差。,Please fill in the substrate warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材预警公差下偏差必须大于等于0且不能大于基材公差下偏差。,The substrate warning tolerance lower deviation must be greater than or equal to 0 and cannot be greater than the substrate tolerance lower deviation.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写单面公差。,Please fill in the single-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面公差上偏差不能小于单面预警公差上偏差。,The single-sided tolerance upper deviation cannot be less than the single-sided warning tolerance upper deviation.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面公差不能小于单面预警公差。,The single-sided tolerance cannot be less than the single-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写单面公差。,Please fill in the single-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面公差下偏差不能小于单面预警公差下偏差。,The lower deviation of the single-sided tolerance cannot be less than the lower deviation of the single-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写单面预警公差。,Please fill in the single-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面预警公差上偏差必须大于等于0且不能大于单面公差上偏差。,The single-sided warning tolerance upper deviation must be greater than or equal to 0 and cannot be greater than the single-sided tolerance upper deviation.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面预警公差必须大于等于0且不能大于单面公差。,The single-sided warning tolerance must be greater than or equal to 0 and cannot be greater than the single-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写单面预警公差。,Please fill in the single-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面预警公差下偏差必须大于等于0且不能大于单面公差下偏差。,The lower deviation of the single-sided warning tolerance must be greater than or equal to 0 and cannot be greater than the lower deviation of the single-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写单面膜区公差。,Please fill in the single-sided film area tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面膜区公差上偏差不能小于单面膜区预警公差上偏差。,The upper tolerance deviation of the single-sided film area cannot be less than the upper warning tolerance deviation of the single-sided film area.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面膜区公差不能小于单面膜区预警公差。,The single-sided film area tolerance cannot be less than the single-sided film area warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写单面膜区公差。,Please fill in the single-sided film area tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面膜区公差下偏差不能小于单面膜区预警公差下偏差。,The lower deviation of the tolerance of the single-sided film area cannot be less than the lower deviation of the warning tolerance of the single-sided film area.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写单面膜区预警公差。,Please fill in the warning tolerance for the single-sided mask area.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面膜区预警公差上偏差必须大于等于0且不能大于单面膜区公差上偏差。,The upper deviation of the warning tolerance of the single-sided film area must be greater than or equal to 0 and cannot be greater than the upper deviation of the tolerance of the single-sided film area.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面膜区预警公差必须大于等于0且不能大于单面膜区公差。,The single-sided film area warning tolerance must be greater than or equal to 0 and cannot be greater than the single-sided film area tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写单面膜区预警公差。,Please fill in the warning tolerance for the single-sided mask area.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,单面膜区预警公差下偏差必须大于等于0且不能大于单面膜区公差下偏差。,The lower deviation of the warning tolerance of the single-sided film area must be greater than or equal to 0 and cannot be greater than the lower deviation of the tolerance of the single-sided film area.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写双面公差。,Please fill in the double-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面公差上偏差不能小于双面预警公差上偏差。,The upper deviation of the double-sided tolerance cannot be less than the upper deviation of the double-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面公差不能小于双面预警公差。,The double-sided tolerance cannot be less than the double-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写双面公差。,Please fill in the double-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面公差下偏差不能小于双面预警公差下偏差。,The lower deviation of the double-sided tolerance cannot be less than the lower deviation of the double-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写双面预警公差。,Please fill in the double-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面预警公差上偏差必须大于等于0且不能大于双面公差上偏差。,The upper deviation of the double-sided warning tolerance must be greater than or equal to 0 and cannot be greater than the upper deviation of the double-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面预警公差必须大于等于0且不能大于双面公差。,The two-sided warning tolerance must be greater than or equal to 0 and cannot be greater than the two-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写双面预警公差。,Please fill in the double-sided warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面预警公差下偏差必须大于等于0且不能大于双面公差下偏差。,The lower deviation of the two-sided warning tolerance must be greater than or equal to 0 and cannot be greater than the lower deviation of the two-sided tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写双面膜区预警公差。,Please fill in the double-sided mask area warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面膜区公差上偏差不能小于双面膜区预警公差上偏差。,The upper tolerance deviation of the double-sided film area cannot be less than the upper warning tolerance deviation of the double-sided film area.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面膜区公差不能小于双面膜区预警公差。,The double-sided film area tolerance cannot be less than the double-sided film area warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写双面膜区预警公差。,Please fill in the double-sided mask area warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面膜区公差下偏差不能小于双面膜区预警公差下偏差。,The lower deviation of the double-sided film area tolerance cannot be less than the lower deviation of the double-sided film area warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写双面膜区预警公差。,Please fill in the double-sided mask area warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面膜区预警公差上偏差必须大于等于0且不能大于双面膜区公差上偏差。,The upper deviation of the double-sided film area warning tolerance must be greater than or equal to 0 and cannot be greater than the upper deviation of the double-sided film area tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面膜区预警公差必须大于等于0且不能大于双面膜区公差。,The double-sided film area warning tolerance must be greater than or equal to 0 and cannot be greater than the double-sided film area tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写双面膜区预警公差。,Please fill in the double-sided mask area warning tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,双面膜区预警公差下偏差必须大于等于0且不能大于双面膜区公差下偏差。,The lower deviation of the double-sided film area warning tolerance must be greater than or equal to 0 and cannot be greater than the lower deviation of the double-sided film area tolerance.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,必须选择涂布模式,You must select the coating mode
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,请填写基材宽度。,Please enter the substrate width.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,不能小于0,Cannot be less than 0
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,基材宽度不能为0,The substrate width cannot be 0
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,必须是整数,Must be an integer
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,膜区个数不能小于等于0,The number of membrane areas cannot be less than or equal to 0
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,输入的膜区宽度无法解析，膜区宽度示例：120.2 240.5 120.2,The input membrane width cannot be parsed. Examples of membrane width: 120.2 240.5 120.2
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,涂层宽度不能小于0,The coating width cannot be less than 0
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,填写的膜区宽度列表与膜区数量不一致,The filled membrane area width list is inconsistent with the number of membrane areas
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,填写的膜区宽度不一致,The filled membrane area width is inconsistent
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,填写的膜区宽度列表与膜区数量不一致,The filled membrane area width list is inconsistent with the number of membrane areas
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,涂层宽度不能为0,Coating width cannot be 0
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,输入的膜区宽度无法解析，膜区宽度示例：15.2 240.5 15.2，示例为单膜区极片的一组规格宽度。,The input membrane area width cannot be parsed. Examples of membrane area width are: 15.2 240.5 15.2. The example is a set of standard widths for a single membrane area electrode.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,规格宽度数量不能小于3且必须为奇数。,The number of specification widths cannot be less than 3 and must be an odd number.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,宽度不能小于0,Width cannot be less than 0
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,膜区宽度必须大于0,The membrane width must be greater than 0
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,所有规格宽度之和与基材宽度存在较大差值，请检查规格宽度或基材宽度是否填写错误！,There is a large difference between the sum of all specification widths and the substrate width. Please check whether the specification width or substrate width is filled in incorrectly!
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.cs,重转厚系数必须大于0。,The re-thickness coefficient must be greater than 0.
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.Designer.cs,品种名,Variety name
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.Designer.cs,产品型号,Product number
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.Designer.cs,工艺参数,Process parameters
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.Designer.cs,连续,continuous
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.Designer.cs,间歇,Interval
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.Designer.cs,每膜区宽度用一个空格隔开，示例：120.2 240.5 120.2。,"The width of each membrane area is separated by a space, example: 120.2 240.5 120.2."
\KFCK.ThicknessMeterMWS\Controls\IntelligentFormulaManageUserControl.Designer.cs,每个宽度数值用一个空格隔开，示例：15.2 240.5 15.2，是单膜区极片的一组规格宽度。,"Each width value is separated by a space, for example: 15.2 240.5 15.2, which is a set of standard widths for single-film area electrodes."
